,name,affiliation,homepage,scholarid,citedby,Research Interests,Google Scholar Link,url_picture
866,Aly E. Fathy,University of Tennessee,http://web.eecs.utk.edu/~fathy,D_b0_TYAAAAJ,6725,[],https://scholar.google.com/citations?user=D_b0_TYAAAAJ&hl=en,
867,Alyosha A. Efros,Univ. of California - Berkeley,http://www.eecs.berkeley.edu/~efros,d97bGd8AAAAJ,63237,"['computer vision', 'computer graphics', 'computational photography']",https://scholar.google.com/citations?user=d97bGd8AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=d97bGd8AAAAJ&citpid=2
868,Alyson K. Fletcher,Univ. of California - Los Angeles,http://www.stat.ucla.edu/~akfletcher,MCClSvsAAAAJ,2800,"['Statistics', 'computational neuroscience', 'applied mathematics', 'machine learning', 'information theory']",https://scholar.google.com/citations?user=MCClSvsAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MCClSvsAAAAJ&citpid=4
869,Alysson Bessani,Universidade de Lisboa,https://ciencias.ulisboa.pt/perfil/anbessani,-mFXT_oAAAAJ,4590,"['Distributed Systems', 'Security', 'Dependability', 'Fault Tolerance']",https://scholar.google.com/citations?user=-mFXT_oAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-mFXT_oAAAAJ&citpid=3
870,Alysson Neves Bessani,Universidade de Lisboa,https://ciencias.ulisboa.pt/perfil/anbessani,-mFXT_oAAAAJ,4590,"['Distributed Systems', 'Security', 'Dependability', 'Fault Tolerance']",https://scholar.google.com/citations?user=-mFXT_oAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-mFXT_oAAAAJ&citpid=3
871,Alán Aspuru-Guzik,University of Toronto,http://matter.toronto.edu/about-us,Ag_6KEgAAAAJ,35851,"['Theoretical chemistry', 'quantum information science', 'Physical Chemistry', 'Energy Materials', 'Machine Learning']",https://scholar.google.com/citations?user=Ag_6KEgAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ag_6KEgAAAAJ&citpid=2
872,Amal Ahmed,Northeastern University,http://www.ccs.neu.edu/home/amal,Y1C007wAAAAJ,2444,['Programming Languages'],https://scholar.google.com/citations?user=Y1C007wAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Y1C007wAAAAJ&citpid=18
873,Amal J. Ahmed,Northeastern University,http://www.ccs.neu.edu/home/amal,Y1C007wAAAAJ,2444,['Programming Languages'],https://scholar.google.com/citations?user=Y1C007wAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Y1C007wAAAAJ&citpid=18
874,Amali Weerasinghe,University of Adelaide,http://www.adelaide.edu.au/directory/amali.weerasinghe,cW9YyJAAAAAJ,557,['Artificial Intelligence'],https://scholar.google.com/citations?user=cW9YyJAAAAAJ&hl=en,
875,Aman Parnami,IIIT Delhi,https://www.iiitd.ac.in/aman,PI30hN8AAAAJ,315,"['Human-Computer Interaction', 'Wearable Interactions', 'Maker Oriented Learning']",https://scholar.google.com/citations?user=PI30hN8AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=PI30hN8AAAAJ&citpid=2
